1 White Pawn	E2 E4
1 Black Pawn	E7 E5
2 White Knight	G1 F3
2 Black Knight	B8 C6
3 White Knight	B1 C3
3 Black Knight	G8 F6
4 White Pawn	D2 D4
4 Black Pawn	E5 D4
5 White Knight	F3 D4
5 Black Knight	C6 D4
6 White Queen	D1 D4
6 Black Pawn	D7 D5
7 White Pawn	E4 D5
7 Black Knight	F6 D5
8 White Knight	C3 D5
8 Black Queen	D8 D5
9 White Queen	D4 D5
9 Black Bishop	C8 E6
10 White Queen	D5 B7
10 Black Bishop	E6 C8
11 White Queen	B7 A8
11 Black Bishop	F8 D6
12 White Queen	A8 C8
12 Black King	E8 E7
13 White Queen	C8 H8
13 Black Pawn	G7 G6
14 White Bishop	F1 B5
14 Black Pawn	A7 A6
15 White Bishop	C1 G5
15 Black King	E7 E6
16 White Queen	H8 F6
16 Black King	E6 D5
17 White Rook	A1 D1
17 Black King	D5 E4
18 White Queen	F6 F4
18 Black Bishop	D6 F4
19 White Bishop	G5 F4
19 Black King	E4 F5
20 White Rook	D1 D4
20 Black Pawn	F7 F6
21 White Rook	H1 E1
21 Black Pawn	C7 C6
22 White Bishop	B5 D3
22 Black King	F5 G4
23 White Rook	E1 E3
23 Black King	G4 H5
24 White Bishop	F4 D6
24 Black King	H5 H6
25 White Rook	D4 H4
25 Black King	H6 G5
26 White Rook	E3 E4
26 Black King	G5 F5
27 White Rook	E4 A4
27 Black King	F5 G5
28 White Rook	H4 F4
28 Black King	G5 H5
29 White Rook	A4 A5
29 Black King	H5 H6
30 White Bishop	D3 E2
30 Black King	H6 G7
31 White Rook	F4 E4
31 Black King	G7 H6
32 White Rook	A5 H5
32 Black King	H6 G7
33 White Rook	E4 E7
33 Black King	G7 G8
34 White Rook	H5 H4
34 Black King	G8 F8
35 White Rook	H4 B4
35 Black King	F8 G8
36 White Rook	B4 B8
