1 Black Pawn	D7 D5
2 White Pawn	E2 E4
2 White Knight	B1 C3
2 Black Pawn	D5 E4
3 Black Bishop	C8 F5
4 White Knight	C3 E4
4 White Queen	D1 E2
4 Black Bishop	F5 E4
5 White Queen	E2 E4
5 Black Knight	G8 F6
6 White Queen	E4 B7
6 White Queen	B7 A7
6 Black Queen	D8 D5
7 White Queen	A7 C7
7 Black Knight	B8 C6
8 Black Queen	D5 D8
9 White Queen	C7 C6
9 Black Queen	D8 D7
10 White Queen	C6 F6
10 White Queen	F6 G7
10 Black Queen	D7 E6
11 White Queen	G7 E5
11 Black Bishop	F8 G7
12 Black Queen	E6 D7
13 White Queen	E5 E6
13 Black Rook	A8 A6
14 White Bishop	F1 B5
14 Black Queen	D7 B5
15 White Queen	E6 D7
15 Black Queen	B5 D7
16 White Pawn	D2 D3
16 Black Rook	A6 E6
17 Black Queen	D7 B5
18 White Bishop	C1 E3
18 White Rook	A1 D1
18 Black Bishop	G7 B2
19 Black Rook	E6 E3
20 Black Queen	B5 B4
21 White Pawn	A2 A3
21 Black Rook	E3 E1
22 White Pawn	A3 B4
22 White Rook	D1 E1
22 Black Bishop	B2 C1
23 White Rook	E1 C1
23 White Pawn	B4 B5
23 White Pawn	C2 C4
23 White Pawn	C4 C5
23 White Pawn	B5 B6
23 White Pawn	C5 C6
23 White Rook	C1 C5
23 White Pawn	B6 B7
23 White Knight	G1 F3
23 White Knight	F3 E5
23 White Pawn	C6 C7
23 White Queen	C8 H8
23 White Rook	C5 C2
23 White Knight	E5 F7
23 White Queen	H8 D4
23 White Queen	B8 F4
23 White Queen	F4 F2
